"#";"Group";"Subgroup";"Site";"Time";"Service flags";"Flow rate ES flags";"Heat ES flags";"Work time, s";"Time without flow rate measuring, s";"Time without heat measuring, s";"V+, m³";"V-, m³";"M+, t";"W, Gcal/h";"Work time for the interval, s";"Time without flow rate measuring for the interval, s";"Time without heat measuring for the interval, s";"V+ accumulated, m³";"V- accumulated, m³";"M+ accumulated, t";"W accumulated, Gcal/h";"Min volume flow rate, m³/h";"Max volume flow rate, m³/h";"Min weight flow rate, m³/h";"Max weight flow rate, m³/h";"Min temperature 1, °C";"Max temperature 1, °C";"Average temperature 1, °C";"Min temperature 2, °C";"Max temperature 2, °C";"Average temperature 2, °C";"Min pressure, MPa";"Max pressure, MPa";"Average pressure, MPa"
"56";"";"";"Phaterak";"21/01/2021 15:37:48";"0";"1";"0";"97";"96";"0";"0,000";"0,000";"0,000";"0,000";"1";"0";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"57";"";"";"Phaterak";"21/01/2021 15:37:50";"0";"1";"0";"99";"96";"0";"0,000";"0,000";"0,000";"0,000";"2";"0";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"58";"";"";"Phaterak";"21/01/2021 15:37:52";"0";"1";"0";"101";"96";"0";"0,000";"0,000";"0,000";"0,000";"2";"0";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"59";"";"";"Phaterak";"21/01/2021 15:37:54";"0";"2";"0";"103";"103";"0";"0,000";"0,000";"0,000";"0,000";"2";"7";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"60";"";"";"Phaterak";"21/01/2021 15:37:56";"0";"2";"0";"105";"105";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"61";"";"";"Phaterak";"21/01/2021 15:37:58";"0";"2";"0";"107";"107";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"62";"";"";"Phaterak";"21/01/2021 15:38:00";"0";"2";"0";"109";"109";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"63";"";"";"Phaterak";"21/01/2021 15:38:02";"0";"2";"0";"111";"111";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"64";"";"";"Phaterak";"21/01/2021 15:38:04";"0";"2";"0";"113";"113";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"65";"";"";"Phaterak";"21/01/2021 15:38:06";"0";"2";"0";"115";"115";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"66";"";"";"Phaterak";"21/01/2021 15:38:08";"0";"2";"0";"117";"117";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"67";"";"";"Phaterak";"21/01/2021 15:38:10";"0";"2";"0";"119";"119";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"68";"";"";"Phaterak";"21/01/2021 15:38:12";"0";"2";"0";"121";"121";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"69";"";"";"Phaterak";"21/01/2021 15:38:14";"0";"2";"0";"123";"123";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"70";"";"";"Phaterak";"21/01/2021 15:38:16";"0";"2";"0";"125";"125";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"71";"";"";"Phaterak";"21/01/2021 15:38:18";"0";"2";"0";"127";"127";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"72";"";"";"Phaterak";"21/01/2021 15:38:20";"0";"2";"0";"129";"129";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"73";"";"";"Phaterak";"21/01/2021 15:38:22";"0";"2";"0";"131";"131";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
"74";"";"";"Phaterak";"21/01/2021 15:38:24";"0";"2";"0";"133";"133";"0";"0,000";"0,000";"0,000";"0,000";"2";"2";"0";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,000";"0,201";"0,201";"0,201"
