,T_a,RH,p_a,v_a,SnowHeight,SW_global,LW_in
2020-12-05 09:00:00,-2.37426,74.23945,67.78313,0.4014275,104.6,179.5804,234.3533
2020-12-05 09:30:00,-1.802374,71.14625,67.80152,0.9313165,104.6,395.8654,225.1662
2020-12-05 10:00:00,-0.9763364,66.15234,67.81737,0.9539303,104.7,507.4189,240.8353
2020-12-05 10:30:00,-0.5081333,65.66497,67.82297,1.145224,104.7,468.1115,251.2908
2020-12-05 11:00:00,0.303264,62.29774,67.81828,1.452796,104.9,536.8666,262.4033
2020-12-05 11:30:00,1.200436,57.7023,67.78939,1.770931,104.9,600.9213,261.5182
2020-12-05 12:00:00,1.456458,50.93267,67.76468,2.014323,104.8,403.7532,244.0568
2020-12-05 12:30:00,1.339056,46.53509,67.73758,2.453411,105.1,327.7355,244.0315
2020-12-05 13:00:00,1.960336,44.34486,67.71526,3.103121,105,445.7249,246.6645
2020-12-05 13:30:00,2.191396,41.6607,67.68603,4.215495,104.9,357.0652,244.1063
2020-12-05 14:00:00,2.500905,40.68219,67.63647,5.907408,105,465.9556,237.3549
2020-12-05 14:30:00,2.790793,38.71545,67.60448,6.450216,104.8,463.2944,233.7
2020-12-05 15:00:00,2.715675,37.59386,67.58799,5.803663,105,392.6655,230.4109
2020-12-05 15:30:00,2.67946,36.46974,67.58596,4.640719,104.8,261.9571,226.1769
2020-12-05 16:00:00,2.321986,36.84848,67.59399,4.16729,104.7,138.0557,226.1657
2020-12-05 16:30:00,2.276587,36.9003,67.59132,3.998425,104.7,115.2938,223.2857
2020-12-05 17:00:00,1.752042,37.89858,67.59614,3.826038,104.7,10.93226,219.6601
2020-12-05 17:30:00,1.502939,40.00624,67.57774,2.637848,104.6,-1.910731,221.0333
2020-12-05 18:00:00,1.069496,40.61248,67.5978,2.970217,104.5,-4.914523,218.4247
2020-12-05 18:30:00,0.832312,41.43694,67.61581,1.477259,104.6,-4.855978,216.6506
2020-12-05 19:00:00,-0.5139249,43.58598,67.63221,0.8655939,104.3,-4.668139,215.3495
2020-12-05 19:30:00,-1.021182,45.44364,67.64774,0.5144449,104.6,-3.370471,214.1405
2020-12-05 20:00:00,-1.13712,46.0818,67.66824,1.062577,104.4,-2.347487,213.8828
2020-12-05 20:30:00,-1.184254,46.05673,67.68259,1.054343,104.5,-3.076354,214.5665
2020-12-05 21:00:00,-1.636895,47.71018,67.70216,0.7113429,104.5,-2.74428,213.99
2020-12-05 21:30:00,-1.66523,47.7946,67.71912,1.210247,104.4,-2.166314,217.1236
2020-12-05 22:00:00,-1.284903,47.40105,67.72343,1.189794,104.4,-1.270494,224.6016
2020-12-05 22:30:00,-1.302195,46.94615,67.72109,0.6125897,104.4,-2.663232,223.1818
2020-12-05 23:00:00,-1.923558,49.11151,67.72858,0.3701167,104.5,-1.56435,224.0098
2020-12-05 23:30:00,-2.531753,50.50891,67.71252,0.8557605,104.4,-1.337819,227.6936
2020-12-06 00:00:00,-2.403214,50.27305,67.69976,0.4605694,104.4,-0.5322804,229.9277
2020-12-06 00:30:00,-3.579975,52.91579,67.68307,0.9396371,104.4,-1.334574,233.3133
2020-12-06 01:00:00,-3.300568,53.29718,67.68082,0.5263541,104.5,-0.3643791,243.3532
2020-12-06 01:30:00,-3.515357,52.8686,67.66546,0.8116776,104.5,-0.6073229,250.9549
2020-12-06 02:00:00,-3.182,52.20427,67.64914,0.7888082,104.4,-1.509235,232.2365
2020-12-06 02:30:00,-4.10736,54.6788,67.65723,0.7385975,104.5,-1.687222,234.093
2020-12-06 03:00:00,-3.473006,53.20842,67.66969,0.6375635,104.4,-0.319813,246.3188
2020-12-06 03:30:00,-3.519372,53.17159,67.67384,0.832432,104.5,-1.439141,233.1825
2020-12-06 04:00:00,-3.505191,52.80352,67.67487,0.8890367,104.4,-1.00926,234.5636
2020-12-06 04:30:00,-3.72112,54.57733,67.68045,1.220459,104.4,-0.4748276,252.09
2020-12-06 05:00:00,-3.311758,53.64349,67.6899,0.9107834,104.5,-0.4940364,260.2025
2020-12-06 05:30:00,-3.701014,55.07372,67.71049,0.6937969,104.4,-1.013861,259.6778
2020-12-06 06:00:00,-3.637032,55.98318,67.72819,1.186313,104.5,-0.8293914,255.7406
2020-12-06 06:30:00,-4.284827,57.96302,67.76134,0.6399675,104.4,-1.616782,252.0468
2020-12-06 07:00:00,-5.318915,60.55536,67.79935,0.5483183,104.6,-1.125659,260.1054
2020-12-06 07:30:00,-4.743855,60.03245,67.83923,0.6118529,104.5,4.679695,242.9666
2020-12-06 08:00:00,-4.06964,58.60158,67.87634,0.3915437,104.5,28.31631,237.1537
2020-12-06 08:30:00,-3.396416,57.57339,67.91824,0.5479409,104.6,72.12233,236.051
2020-12-06 09:00:00,,,,,,,
2020-12-06 09:30:00,-1.270161,55.35986,67.99481,1.472152,104.6,221.6243,250.1613
2020-12-06 10:00:00,-0.02245665,52.8095,68.01771,1.814416,104.5,401.9876,243.9174
2020-12-06 10:30:00,0.178241,53.31759,68.04346,3.516389,104.7,439.2935,231.3963
2020-12-06 11:00:00,0.3689373,52.43839,68.06524,4.552599,104.6,405.4658,234.2875
2020-12-06 11:30:00,0.9432604,49.32432,68.06956,4.894278,105,533.4958,251.9525
2020-12-06 12:00:00,1.722115,46.7197,68.05338,4.880989,104.8,651.5688,256.2298
2020-12-06 12:30:00,2.140153,44.00563,68.00973,5.778865,104.6,603.9456,257.9622
2020-12-06 13:00:00,2.810209,41.16969,67.97277,5.661394,105.1,639.7386,264.2459
